2L	16209134	16411601	2L35F	0.0
2L	16411602	16765029	2L36A	0.0
2L	16765030	17093815	2L36B	0.0
2L	17093816	17552485	2L36C	0.0
2L	17552486	17817472	2L36D	0.0
2L	17817473	18188234	2L36E	0.0
2L	18188235	18684441	2L36F	0.0
2L	18684442	18822138	2L37A	0.0
2L	18822139	19085148	2L37B	0.0
2L	19085149	19217604	2L37C	0.0
2L	19217605	19427708	2L37D	0.0
2L	19427709	19531130	2L37E	0.0
2L	19531131	19673576	2L37F	0.0
2L	19673577	20000958	2L38A	0.0
2L	20000959	20098210	2L38B	0.0
2L	20098211	20576388	2L38C	0.0
2L	20576389	20687000	2L38D	0.0
2L	20687001	20812419	2L38E	0.0
2L	20812420	20966124	2L38F	0.0
2L	20966125	21175048	2L39A	0.0
2L	21175049	21254364	2L39B	0.0
2L	21254365	21328898	2L39C	0.0
2L	21328899	21512721	2L39D	0.0
2L	21512722	21684084	2L39E	0.0
2L	21684085	21731512	2L39F	0.0
2L	21731513	21858141	2L40A	0.0
2L	21858142	21929711	2L40B	0.0
2L	21929712	21973916	2L40C	0.0
2L	21973917	22061076	2L40D	0.0
2L	22061077	22148236	2L40E	0.0
2L	22148237	22677528	2L40F	0.0
2R	4460914	4582213	2R41A	0.0
2R	4582214	4704666	2R41B	0.0
2R	4704667	5003330	2R41C	0.0
2R	5003331	5146578	2R41D	0.0
2R	5146579	5405810	2R41E	0.0
2R	5405811	5802899	2R41F	0.0
2R	5802900	6496635	2R42A	0.0
2R	6496636	6651965	2R42B	0.0
2R	6651966	6776962	2R42C	0.0
2R	6776963	6908322	2R42D	0.0
2R	6908323	7078091	2R42E	0.0
2R	7078092	7180673	2R42F	0.0
2R	7180674	7333730	2R43A	0.0
2R	7333731	7428108	2R43B	0.0
2R	7428109	7507125	2R43C	0.0
2R	7507126	7571522	2R43D	0.0
2R	7571523	7861513	2R43E	0.0
2R	7861514	7972697	2R43F	0.0
2R	7972698	8111490	2R44A	0.0
2R	8111491	8185881	2R44B	0.0
2R	8185882	8436436	2R44C	0.0
2R	8436437	8660244	2R44D	0.0
2R	8660245	8783086	2R44E	0.0
2R	8783087	8985487	2R44F	0.0
2R	8985488	9153344	2R45A	0.0
2R	9153345	9250250	2R45B	0.0
2R	9250251	9344686	2R45C	0.0
2R	9344687	9465233	2R45D	0.0
2R	9465234	9534677	2R45E	0.0
2R	9534678	9637538	2R45F	0.0
2R	9637539	9712022	2R46A	0.0
2R	9712023	9869622	2R46B	0.0
2R	9869623	9988605	2R46C	0.0
2R	9988606	10061025	2R46D	0.0
2R	10061026	10111219	2R46E	0.0
2R	10111220	10293800	2R46F	0.0
2R	10293801	10611911	2R47A	0.0
2R	10611912	10799365	2R47B	0.0
2R	10799366	10977100	2R47C	0.0
2R	10977101	11220954	2R47D	0.0
2R	11220955	11287018	2R47E	0.0
2R	11287019	11527782	2R47F	0.0
2R	11527783	11631875	2R48A	0.0
2R	11631876	11677455	2R48B	0.0
2R	11677456	11909032	2R48C	0.0
2R	11909033	12068241	2R48D	0.0
2R	12068242	12240144	2R48E	0.0
2R	12240145	12345603	2R48F	0.0
2R	12345604	12530887	2R49A	0.0
2R	12530888	12690972	2R49B	0.0
2R	12690973	12800417	2R49C	0.0
2R	12800418	12883886	2R49D	0.0
2R	12883887	13024826	2R49E	0.0
2R	13024827	13275886	2R49F	0.0
